job_id,job_title,company,location,experience_level,work_type,salary_usd,skills,year,month,posted_date
1,MLOps Engineer,Google,"Seattle, WA",Mid,Hybrid,125881.0,"Deep Learning, Linux, TensorFlow, Python, R, NLP, Computer Vision, Power BI",2024,9,2024-09-07
2,Deep Learning Engineer,Infosys,"Boston, MA",Mid,Remote,134530.0,"Kubernetes, Linux, scikit-learn",2023,4,2023-04-25
3,Data Scientist,Microsoft,"San Francisco, CA",Senior,Hybrid,,"Feature Engineering, Computer Vision, Git",2022,5,2022-05-27
4,MLOps Engineer,Intel,"Austin, TX",Mid,Remote,140512.0,"Spark, Statistics, Deep Learning, Linux, Computer Vision, A/B Testing, PyTorch, GCP",2023,11,2023-11-27
5,AI Engineer,OpenAI,"New York, NY",Mid,Onsite,126833.0,"Machine Learning, Kubernetes, Hadoop, Deep Learning, Spark, GCP, MLOps, Transformers",2025,4,2025-04-22
6,Data Scientist,TCS,"San Francisco, CA",Senior,Onsite,143064.0,"Tableau, Machine Learning, Azure, Feature Engineering, Statistics, Data Engineering",2025,4,2025-04-21
7,LLM Engineer,Tesla,"Bengaluru, India",Entry,Remote,33555.0,"Power BI, Linux, Airflow, AWS, Computer Vision, Machine Learning, Scala, Hadoop",2022,1,2022-01-28
8,Machine Learning Engineer,Palantir,"Pune, India",Mid,Remote,40730.0,"Feature Engineering, Power BI, Python, scikit-learn, NumPy, PyTorch",2025,9,2025-09-25
9,Data Scientist,DeepMind,"San Francisco, CA",Mid,Hybrid,108709.0,"Power BI, Java, AWS, Scala, Feature Engineering, PyTorch, Linux, Transformers",2023,11,2023-11-17
10,MLOps Engineer,Microsoft,"Pune, India",Mid,Onsite,35429.0,"Python, Transformers, R, Scala, PyTorch, AWS, FastAPI",2025,4,2025-04-02
11,Data Scientist,Stripe,"San Francisco, CA",Senior,Onsite,139014.0,"MLOps, Scala, A/B Testing, R, Tableau, Deep Learning, Java",2024,10,2024-10-14
12,Data Analyst,Baidu,"Hyderabad, India",Senior,Hybrid,27968.0,"NumPy, Data Engineering, Java, PyTorch, Computer Vision, Feature Engineering",2022,1,2022-01-19
13,LLM Engineer,Databricks,"San Francisco, CA",Senior,Remote,183425.0,"TensorFlow, scikit-learn, Machine Learning",2024,5,2024-05-22
