job_id,job_title,company,location,experience_level,work_type,salary_usd,skills,year,month,posted_date,salary_band
1,MLOps Engineer,Google,"Seattle, WA",Mid,Hybrid,125881,"Deep Learning, Linux, TensorFlow, Python, R, NLP, Computer Vision, Power BI",2024,9,2024-09-07,100-130K
2,Deep Learning Engineer,Infosys,"Boston, MA",Mid,Remote,134530,"Kubernetes, Linux, scikit-learn",2023,4,2023-04-25,130-160K
3,Data Scientist,Microsoft,"San Francisco, CA",Senior,Hybrid,113329,"Feature Engineering, Computer Vision, Git",2022,5,2022-05-27,100-130K
4,MLOps Engineer,Intel,"Austin, TX",Mid,Remote,140512,"Spark, Statistics, Deep Learning, Linux, Computer Vision, A/B Testing, PyTorch, GCP",2023,11,2023-11-27,130-160K
5,AI Engineer,OpenAI,"New York, NY",Mid,Onsite,126833,"Machine Learning, Kubernetes, Hadoop, Deep Learning, Spark, GCP, MLOps, Transformers",2025,4,2025-04-22,100-130K
6,Data Scientist,TCS,"San Francisco, CA",Senior,Onsite,143064,"Tableau, Machine Learning, Azure, Feature Engineering, Statistics, Data Engineering",2025,4,2025-04-21,130-160K
7,LLM Engineer,Tesla,"Bengaluru, India",Entry,Remote,33555,"Power BI, Linux, Airflow, AWS, Computer Vision, Machine Learning, Scala, Hadoop",2022,1,2022-01-28,<70K
8,Machine Learning Engineer,Palantir,"Pune, India",Mid,Remote,40730,"Feature Engineering, Power BI, Python, scikit-learn, NumPy, PyTorch",2025,9,2025-09-25,<70K
9,Data Scientist,DeepMind,"San Francisco, CA",Mid,Hybrid,108709,"Power BI, Java, AWS, Scala, Feature Engineering, PyTorch, Linux, Transformers",2023,11,2023-11-17,100-130K
10,MLOps Engineer,Microsoft,"Pune, India",Mid,Onsite,35429,"Python, Transformers, R, Scala, PyTorch, AWS, FastAPI",2025,4,2025-04-02,<70K
11,Data Scientist,Stripe,"San Francisco, CA",Senior,Onsite,139014,"MLOps, Scala, A/B Testing, R, Tableau, Deep Learning, Java",2024,10,2024-10-14,130-160K
12,Data Analyst,Baidu,"Hyderabad, India",Senior,Hybrid,27968,"NumPy, Data Engineering, Java, PyTorch, Computer Vision, Feature Engineering",2022,1,2022-01-19,<70K
13,LLM Engineer,Databricks,"San Francisco, CA",Senior,Remote,183425,"TensorFlow, scikit-learn, Machine Learning",2024,5,2024-05-22,160K+
14,LLM Engineer,Uber,"Hyderabad, India",Lead,Hybrid,46809,"A/B Testing, FastAPI, GCP, NLP",2022,7,2022-07-12,<70K
15,AI Engineer,Salesforce,"Hyderabad, India",Senior,Onsite,37025,"PyTorch, Airflow, scikit-learn",2025,2,2025-02-08,<70K
16,Data Scientist,Uber,"New York, NY",Mid,Hybrid,107426,"Data Engineering, NLP, PyTorch",2025,9,2025-09-27,100-130K
17,Machine Learning Engineer,Microsoft,"Hyderabad, India",Mid,Hybrid,32762,"Azure, Airflow, PyTorch, Deep Learning, GCP, Python",2025,5,2025-05-26,<70K
18,NLP Engineer,Meta,"Bengaluru, India",Senior,Onsite,46111,"R, Docker, GCP, Java, NLP, SQL, Statistics, NumPy",2024,12,2024-12-11,<70K
19,Machine Learning Engineer,Databricks,"Los Angeles, CA",Senior,Remote,151654,"Deep Learning, AWS, Machine Learning, LLM, TensorFlow, scikit-learn, Linux",2023,2,2023-02-19,130-160K
20,Data Scientist,Databricks,Remote,Mid,Hybrid,95676,"Transformers, Power BI, Azure, scikit-learn, Pandas, Kubernetes, Computer Vision",2023,3,2023-03-22,70-100K
21,MLOps Engineer,Salesforce,Singapore,Lead,Remote,217302,"NLP, Machine Learning, Azure, Power BI, MLOps, Java, AWS",2025,4,2025-04-12,160K+
22,Data Scientist,Salesforce,"Chicago, IL",Mid,Onsite,112078,"Scala, Python, LLM, Feature Engineering, scikit-learn, PyTorch, Machine Learning, MLOps",2023,2,2023-02-24,100-130K
23,LLM Engineer,Meta,Remote,Senior,Remote,179694,"Power BI, Java, R, MLOps, Data Engineering, Linux, SQL, TensorFlow",2024,5,2024-05-02,160K+
24,Machine Learning Engineer,TCS,"Bengaluru, India",Mid,Hybrid,30919,"Linux, Python, Computer Vision, TensorFlow, Data Engineering, Pandas, Machine Learning",2024,6,2024-06-19,<70K
25,LLM Engineer,Nvidia,"San Francisco, CA",Mid,Onsite,130387,"Pandas, Azure, Hadoop",2025,6,2025-06-25,130-160K
26,LLM Engineer,Tesla,"Ahmedabad, India",Senior,Onsite,50574,"Kubernetes, AWS, FastAPI, SQL",2023,6,2023-06-26,<70K
27,Data Analyst,Accenture,"Berlin, Germany",Senior,Remote,91186,"NLP, Git, TensorFlow, Linux, Hadoop, Computer Vision, Scala, FastAPI",2025,6,2025-06-10,70-100K
28,NLP Engineer,Tesla,"New York, NY",Senior,Remote,165854,"Machine Learning, Tableau, Pandas, Java, Airflow",2025,9,2025-09-11,160K+
29,Data Analyst,Microsoft,"Ahmedabad, India",Entry,Onsite,15536,"TensorFlow, NLP, Linux, Pandas, Transformers",2024,9,2024-09-04,<70K
30,AI Engineer,Stripe,"Seattle, WA",Senior,Remote,160913,"GCP, NumPy, Linux, TensorFlow, scikit-learn, Kubernetes, LLM",2024,2,2024-02-24,160K+
31,Computer Vision Engineer,Adobe,"Bengaluru, India",Mid,Hybrid,33901,"MLOps, GCP, FastAPI, scikit-learn, Java, A/B Testing, NumPy",2025,10,2025-10-19,<70K
