job_id,job_title,experience_level,location,salary_usd,skill
1,MLOps Engineer,Mid,"Seattle, WA",125881,Deep Learning
1,MLOps Engineer,Mid,"Seattle, WA",125881,Linux
1,MLOps Engineer,Mid,"Seattle, WA",125881,TensorFlow
1,MLOps Engineer,Mid,"Seattle, WA",125881,Python
1,MLOps Engineer,Mid,"Seattle, WA",125881,R
1,MLOps Engineer,Mid,"Seattle, WA",125881,NLP
1,MLOps Engineer,Mid,"Seattle, WA",125881,Computer Vision
1,MLOps Engineer,Mid,"Seattle, WA",125881,Power BI
2,Deep Learning Engineer,Mid,"Boston, MA",134530,Kubernetes
2,Deep Learning Engineer,Mid,"Boston, MA",134530,Linux
2,Deep Learning Engineer,Mid,"Boston, MA",134530,scikit-learn
3,Data Scientist,Senior,"San Francisco, CA",113329,Feature Engineering
3,Data Scientist,Senior,"San Francisco, CA",113329,Computer Vision
3,Data Scientist,Senior,"San Francisco, CA",113329,Git
4,MLOps Engineer,Mid,"Austin, TX",140512,Spark
4,MLOps Engineer,Mid,"Austin, TX",140512,Statistics
4,MLOps Engineer,Mid,"Austin, TX",140512,Deep Learning
4,MLOps Engineer,Mid,"Austin, TX",140512,Linux
4,MLOps Engineer,Mid,"Austin, TX",140512,Computer Vision
4,MLOps Engineer,Mid,"Austin, TX",140512,A/B Testing
4,MLOps Engineer,Mid,"Austin, TX",140512,PyTorch
4,MLOps Engineer,Mid,"Austin, TX",140512,GCP
5,AI Engineer,Mid,"New York, NY",126833,Machine Learning
5,AI Engineer,Mid,"New York, NY",126833,Kubernetes
5,AI Engineer,Mid,"New York, NY",126833,Hadoop
5,AI Engineer,Mid,"New York, NY",126833,Deep Learning
5,AI Engineer,Mid,"New York, NY",126833,Spark
5,AI Engineer,Mid,"New York, NY",126833,GCP
5,AI Engineer,Mid,"New York, NY",126833,MLOps
5,AI Engineer,Mid,"New York, NY",126833,Transformers
6,Data Scientist,Senior,"San Francisco, CA",143064,Tableau
6,Data Scientist,Senior,"San Francisco, CA",143064,Machine Learning
6,Data Scientist,Senior,"San Francisco, CA",143064,Azure
6,Data Scientist,Senior,"San Francisco, CA",143064,Feature Engineering
6,Data Scientist,Senior,"San Francisco, CA",143064,Statistics
6,Data Scientist,Senior,"San Francisco, CA",143064,Data Engineering
7,LLM Engineer,Entry,"Bengaluru, India",33555,Power BI
7,LLM Engineer,Entry,"Bengaluru, India",33555,Linux
7,LLM Engineer,Entry,"Bengaluru, India",33555,Airflow
7,LLM Engineer,Entry,"Bengaluru, India",33555,AWS
7,LLM Engineer,Entry,"Bengaluru, India",33555,Computer Vision
7,LLM Engineer,Entry,"Bengaluru, India",33555,Machine Learning
7,LLM Engineer,Entry,"Bengaluru, India",33555,Scala
7,LLM Engineer,Entry,"Bengaluru, India",33555,Hadoop
8,Machine Learning Engineer,Mid,"Pune, India",40730,Feature Engineering
8,Machine Learning Engineer,Mid,"Pune, India",40730,Power BI
8,Machine Learning Engineer,Mid,"Pune, India",40730,Python
8,Machine Learning Engineer,Mid,"Pune, India",40730,scikit-learn
8,Machine Learning Engineer,Mid,"Pune, India",40730,NumPy
8,Machine Learning Engineer,Mid,"Pune, India",40730,PyTorch
9,Data Scientist,Mid,"San Francisco, CA",108709,Power BI
9,Data Scientist,Mid,"San Francisco, CA",108709,Java
9,Data Scientist,Mid,"San Francisco, CA",108709,AWS
9,Data Scientist,Mid,"San Francisco, CA",108709,Scala
9,Data Scientist,Mid,"San Francisco, CA",108709,Feature Engineering
9,Data Scientist,Mid,"San Francisco, CA",108709,PyTorch
9,Data Scientist,Mid,"San Francisco, CA",108709,Linux
9,Data Scientist,Mid,"San Francisco, CA",108709,Transformers
10,MLOps Engineer,Mid,"Pune, India",35429,Python
10,MLOps Engineer,Mid,"Pune, India",35429,Transformers
10,MLOps Engineer,Mid,"Pune, India",35429,R
10,MLOps Engineer,Mid,"Pune, India",35429,Scala
10,MLOps Engineer,Mid,"Pune, India",35429,PyTorch
10,MLOps Engineer,Mid,"Pune, India",35429,AWS
10,MLOps Engineer,Mid,"Pune, India",35429,FastAPI
11,Data Scientist,Senior,"San Francisco, CA",139014,MLOps
11,Data Scientist,Senior,"San Francisco, CA",139014,Scala
11,Data Scientist,Senior,"San Francisco, CA",139014,A/B Testing
11,Data Scientist,Senior,"San Francisco, CA",139014,R
11,Data Scientist,Senior,"San Francisco, CA",139014,Tableau
11,Data Scientist,Senior,"San Francisco, CA",139014,Deep Learning
11,Data Scientist,Senior,"San Francisco, CA",139014,Java
12,Data Analyst,Senior,"Hyderabad, India",27968,NumPy
12,Data Analyst,Senior,"Hyderabad, India",27968,Data Engineering
12,Data Analyst,Senior,"Hyderabad, India",27968,Java
12,Data Analyst,Senior,"Hyderabad, India",27968,PyTorch
12,Data Analyst,Senior,"Hyderabad, India",27968,Computer Vision
12,Data Analyst,Senior,"Hyderabad, India",27968,Feature Engineering
13,LLM Engineer,Senior,"San Francisco, CA",183425,TensorFlow
13,LLM Engineer,Senior,"San Francisco, CA",183425,scikit-learn
13,LLM Engineer,Senior,"San Francisco, CA",183425,Machine Learning
14,LLM Engineer,Lead,"Hyderabad, India",46809,A/B Testing
14,LLM Engineer,Lead,"Hyderabad, India",46809,FastAPI
14,LLM Engineer,Lead,"Hyderabad, India",46809,GCP
14,LLM Engineer,Lead,"Hyderabad, India",46809,NLP
15,AI Engineer,Senior,"Hyderabad, India",37025,PyTorch
15,AI Engineer,Senior,"Hyderabad, India",37025,Airflow
15,AI Engineer,Senior,"Hyderabad, India",37025,scikit-learn
16,Data Scientist,Mid,"New York, NY",107426,Data Engineering
16,Data Scientist,Mid,"New York, NY",107426,NLP
16,Data Scientist,Mid,"New York, NY",107426,PyTorch
17,Machine Learning Engineer,Mid,"Hyderabad, India",32762,Azure
17,Machine Learning Engineer,Mid,"Hyderabad, India",32762,Airflow
17,Machine Learning Engineer,Mid,"Hyderabad, India",32762,PyTorch
17,Machine Learning Engineer,Mid,"Hyderabad, India",32762,Deep Learning
